TAP_service,table_name,objects,description
VizieR,J/ApJ/858/77/table3,1801,"List of spectral identifications ( Hasinger G., Capak P., Salvato M., Barger A.J., Cowie L.L., Faisst A., Hemmati S., Kakazu Y., Kartaltepe J., Masters D., Mobasher B., Nayyeri H., Sanders D., Scoville N.Z., Suh H., Steinhardt C., Yang F.)"
VizieR,VII/240/mgczcat,1666,"*Millennium Galaxy Catalogue ( Liske J., Lemon D.J., Driver S.P., Cross N.J.G., Couch W.J.)"
VizieR,J/MNRAS/498/4095/allspecz,1662,"Catalogue of the 1912 reliable redshifts acquired in this study ( Noordeh E., Canning R.E.A., King A., Allen S.W., Mantz A., Morris R.G., Ehlert S., von der Linden A., Brandt W.N., Luo B., Xue Y.Q., Kelly P.)"
VizieR,J/ApJ/877/81/table6,1631,"Redshift results ( Masters D.C., Stern D.K., Cohen J.G., Capak P.L., Stanford S.A., Hernitschek N., Galametz A., Davidzon I., Rhodes J.D., Sanders D., Mobasher B., Castander F., Pruett K., Fotopoulou S.)"
VizieR,J/AJ/167/125/table2,1604,"*LAMOST PMS candidates ( Saad S., Lane K., Kounkel M., Stassun K.G., Lopez-Valdivia R., Kim J.S., Pena Ramirez K., Stringfellow G.S., Roman-Zuniga C.G., Hernandez J., Wolk S.J., Hillenbrand L.A.)"
VizieR,J/A+A/633/A154/klabels,1582,"KiDSVW catalogue with object classifications ( Logan C.H.A., Fotopoulou S.)"
VizieR,J/ApJS/246/12/table3,1578,"*Catalog of the compact group of galaxies (""cCGs"") ( Zheng Y.-L., Shen S.-Y.)"
VizieR,J/MNRAS/470/95/a209,1574,"Abell 209 photometric redshift catalogue ( Molino A., Benitez N., Ascaso B., et al.)"
VizieR,J/A+A/588/A14/table3,1560,"Catalog of 2mrs groups ( Tempel E., Kipper R., Tamm A., Gramann M., Einasto M., Sepp T., Tuvikene T.)"
VizieR,J/ApJ/850/66/table13,1540,"Catalog (final version, 21/08/2019) ( Ananna T.T., Salvato M., Lamassa S., et al.)"
VizieR,J/ApJ/784/170/table4,1520,"List of 6036 K giants selected from SDSS DR9 ( Xue X.-X., Ma Z., Rix H.-W., Morrison H.L., Harding P., Beers T.C., Ivans I.I., Jacobson H.R., Johnson J., Lee Y.S., Lucatello S., Rockosi C.M., Sobeck J.S., Yanny B., Zhao G., Allende Prieto C.)"
VizieR,J/MNRAS/474/5363/table1,1516,"AKARI-SDSS-6dFGS-2MRS sample ( Kilerci Eser E., Goto T.)"
VizieR,J/MNRAS/470/95/a383,1515,"Abell 383 photometric redshift catalogue ( Molino A., Benitez N., Ascaso B., et al.)"
VizieR,J/ApJS/256/4/catalog,1484,"Catalogue of galaxies observed with Hectospec ( Cheng C., Huang J.-S., Willmer C.N.A., Zhang H.-X., Ashby M.L.N., Xu H., Sawicki M., Arnouts S., Gwyn S., Desprez G., Coupon J., Golob A., Liang P., Cao T., Shi Y., Jin G., He C., Wu S., Li Z., Dai Y.S., Xu C.K., Shao X., Musin M.)"
VizieR,VII/277/catalog,1448,"The Milliquas catalogue, V4.8 (22 June 2016) ( Flesch E.W.)"
VizieR,J/ApJS/264/9/skewt,1433,"The DES DR2 skewt-QSO catalog ( Yang Q., Shen Y.)"
VizieR,J/MNRAS/537/2662/emacs,1431,"EMACS clusters (ID and position) ( Ebeling H., Richard J., Beauchesne B., Basto Q., Edge A.C., Smail I.)"
VizieR,J/A+A/692/A175/table1,1401,"Redshifts of 1712 galaxies ( Girardi M., Boschin W., Mercurio A., Nocerino N., Nonino M., Rosati P., Biviano A., Demarco R., Grillo C., Sartoris B., Tozzi P., Vanzella E.)"
VizieR,J/ApJ/821/8/table2,1336,"Sources that show no variation in radial velocity between multiple observations (1927 unique sources) ( Kounkel M., Hartmann L., Tobin J.J., Mateo M., Bailey III J.I., Spencer M.)"
VizieR,J/ApJS/200/9/acs-gc,1330,"The ACS-GC catalog (V1.0) ( Griffith R.L., Cooper M.C., Newman J.A., et al.)"
VizieR,J/MNRAS/500/358/zcat,1315,"Redshift catalogue (Table 4) ( Balogh M.L., van der Burg R.F.J., Muzzin A., et al.)"
HEASARC,spidersros,1302,SDSS-IV/SPIDERS ROSAT-Based X-Ray Point Source Spectroscopic Cat
VizieR,J/MNRAS/470/95/macs1931,1298,"MACS J1931-26 photometric redshift catalogue ( Molino A., Benitez N., Ascaso B., et al.)"
VizieR,J/MNRAS/470/95/macs1311,1290,"MACS J1311-03 photometric redshift catalogue ( Molino A., Benitez N., Ascaso B., et al.)"
VizieR,J/MNRAS/470/95/macs0429,1290,"MACS J0429-02 photometric redshift catalogue ( Molino A., Benitez N., Ascaso B., et al.)"
VizieR,J/ApJ/904/156/table3,1289,"Parameters listed for fit results of the Salt 2.4 model to SDSS SNe. ( Perrefort D., Zhang Y., Galbany L., Wood-Vasey W.M., Gonzalez-Gaitan S.)"
HEASARC,cfa2s,1267,CfA Redshift Survey: South Galactic Cap Data
VizieR,J/A+A/445/503/table4,1265,"Radial velocities of stars in Omega Centauri ( Reijns R.A., Seitzer P., Arnold R., Freeman K.C., Ingerson T., van den Bosch R.C.E., van de Ven G., de Zeeuw P.T.)"
VizieR,J/MNRAS/473/1879/table1,1230,"Catalogue containing redshift data for all sources taken by AAOmega and Hectospec ( Rhee J., Lah P., Briggs F.H., Chengalur J.N., Colless M., Willner S.P., Ashby M.L.N., Le Fevre O.)"
VizieR,J/ApJ/943/23/table13,1216,"Final from the RPE sample ( Shank D., Beers T.C., Placco V.M., Gudin D., Catapano T., Holmbeck E.M., Ezzeddine R., Roederer I.U., Sakari C.M., Frebel A., Hansen T.T.)"
VizieR,J/AJ/119/2866/stars,1205,"star: positions, abundances,  radial velocities, photometry, distance estimates and measured  proper motions ( Beers T.C., Chiba M., Yoshii Y., Platais I., Hanson R.B., Fuchs B., Rossi S.)"
VizieR,J/MNRAS/348/866/2dfngpgr,1189,"Group properties in the NGP ( Eke V.R., Baugh C.M., Cole S., et al.)"
HEASARC,uzc,1169,Updated Zwicky Catalog
VizieR,J/MNRAS/485/2167/catalog,1161,"Supplemental catalogue of 11410 recognized M-type stars ( Guo Y.-X., Luo A.-L., Zhang S., Du B., Wang Y.-F., Chen J.-J., Zuo F., Kong X., Hou Y.-H.)"
VizieR,J/MNRAS/470/95/rxj2248,1137,"RX J2248-4431 photometric redshift catalogue ( Molino A., Benitez N., Ascaso B., et al.)"
VizieR,J/MNRAS/470/95/rxj2129,1131,"RX J2129+0005 photometric redshift catalogue ( Molino A., Benitez N., Ascaso B., et al.)"
VizieR,J/A+A/686/A43/catalog,1124,"LOFAR-eFEDS value-added catalogue ( Igo Z., Merloni A., Hoang D., Buchner J., Liu T., Salvato M., Arcodia R., Bellstedt S., Bruggen M., Croston J.H., de Gasperin F., Georgakakis A., Hardcastle M.J., Nandra K., Ni Q., Pasini T., Shimwell T., Wolf J.)"
VizieR,J/MNRAS/372/425/catalog,1109,"The 2SLAQ redshift catalogue ( Cannon R., Drinkwater M., Edge A., et al.)"
VizieR,J/MNRAS/470/95/macs1115,1091,"MACS J1115+0129 photometric redshift catalogue ( Molino A., Benitez N., Ascaso B., et al.)"
VizieR,J/MNRAS/510/2261/hatlasgp,1077,"H-ATLAS DR3 catalogue for the SGP field keeping the best VIKING ID counterparts ( Ward B.A., Eales S.A., Pons E., Smith M.W.L., Mcmahon R.G., Dunne L., Ivison R.J., Maddox S.J., Negrello M.)"
VizieR,J/A+A/588/A14/table2,1072,"Catalog of combined dataset galaxies ( Tempel E., Kipper R., Tamm A., Gramann M., Einasto M., Sepp T., Tuvikene T.)"
VizieR,VII/235/table3,1052,"Active galaxies (fainter than -23) ( Veron-Cetty M.P., Veron P.)"
VizieR,J/ApJ/943/162/catalog,1050,"Final master cleaned catalog ( Peca A., Cappelluti N., Urry C.M., LaMassa S., Marchesi S., Ananna T.T., B_alokovic M., Sanders D., Auge C., Treister E., Powell M., Turner T.J., Kirkpatrick A., Tian C.)"
VizieR,J/MNRAS/470/95/macs1206,1038,"MACS J1206-08 photometric redshift catalogue ( Molino A., Benitez N., Ascaso B., et al.)"
VizieR,V/148/morx,1014,The catalogue ( Flesch E.W.)
VizieR,J/ApJ/813/89/table2,1002,"Hectospec F stars ( King III C., Brown W.R., Geller M.J., Kenyon S.J.)"
VizieR,J/A+A/512/A12/catalogM,1001,"Combined table from original tables ( Balestra I., Mainieri V., Popesso P., Dickinson M., Nonino M., Rosati P., Teimoorinia H., Vanzella E., Cristiani S., Cesarsky C., Fosbury R.A.E., Kuntschner H., Rettura A.)"
VizieR,J/A+A/530/A31/table2,996,"Parameters from the KISS pipeline for fields centered on M22, M30, M53, M68 ( Lane R.R., Kiss L.L., Lewis G.F., Ibata R.A., Siebert A., Bedding T.R., Szekely P., Szabo G.M.)"
VizieR,J/A+A/569/A17/table2,996,"Positions, BV photometry, radial velocities and membership probabilities ( Cantat-Gaudin T., Vallenari A., Zaggia S., et al.)"
VizieR,J/MNRAS/491/398/table2,973,"The sky coordinates, z, (g-r) colour, ALFALFA ID and HI mass of spiral galaxies used in this work ( Mahajan S., Gupta K.K., Rana R., Brown M.J.I., Phillipps S., Bland-Hawthorn J., Bremer M.N., Brough S., Holwerda B.W., Hopkins A.M., Loveday J., Pimbblet K., Wang L.)"
VizieR,J/ApJS/253/56/table3,959,"Galaxy clusters with the total mass measurements from X-ray and SZ-effect observations (see Section 3.3) ( Zou H., Gao J., Xu X., Zhou X., Ma J., Zhou Z., Zhang T., Nie J., Wang J., Xue S.)"
