TAP_service,table_name,description
VizieR,J/A+A/468/807/table2,"Target list and spectroscopic redshift ( Mannucci F., Bonnoli G., Maiolino R., Zappacosta L., Pedani M.)"
VizieR,J/ApJS/231/7/vics82,"*Full VICS82 catalogue limited to Ks<22 AB mag ( Geach J.E., Lin Y.-T., Makler M., Kneib J.-P., Ross N.P., Wang W.-H., Hsieh B.-C., Leauthaud A., Bundy K., McCracken H.J., Comparat J., Caminha G.B., Hudelot P., Lin L., Van Waerbeke L., Pereira M.E.S., Mast D.)"
VizieR,J/A+A/467/585/table1,"*List of ISGRI source parameters ( Bodaghee A., Courvoisier T.J.-L., Rodriguez J., Beckmann V., Produit N., Hannikainen D., Kuulkers E., Willis D.R., Wendt G.)"
VizieR,J/ApJ/661/750/table1,"MS 1054-03 Members ( Tran K.-V.H., Franx M., Illingworth G.D., Van Dokkum P., Kelson D.D., Blakeslee J.P., Postman M.)"
VizieR,J/MNRAS/470/4838/table1,"Spectroscopic redshift catalogue ( Sluse D., Sonnenfeld A., Rumbaugh N., Rusu C.E., Fassnacht C.D., Treu T., Suyu S.H., Wong K.C., Auger M.W., Bonvin V., Collett T., Courbin F., Hilbert S., Koopmans L.V.E., Marshall P.J., Meylan G., Spiniello C., Tewes M.)"
VizieR,J/A+A/466/41/opt,"Optical properties of candidate counterparts of X-ray sources (table8 and tableb2 of the paper) ( Krumpe M., Lamer G., Schwope A.D., Wagner S., Zamorani G., Mignoli M., Staubert R., Wisotzki L., Hasinger G)"
VizieR,J/A+A/618/A85/sample,"Physical properties (tabnle 3) and spectroscopic redshifts (table A4) of the galaxies ( Schreiber C., Glazebrook K., Nanayakkara T., Kacprzak G.G., Labbe I., Oesch P., Yuan T., Tran K.-V., Papovich C., Spitler L., Straatman C.)"
VizieR,J/ApJS/155/257/table1,"NBC Quasar Candidate Catalog ( Richards G.T., Nichol R.C., Gray A.G., et al.)"
VizieR,J/ApJ/591/640/table4,"Objects with known redshifts ( Cohen A.S., Rottgering H.J.A., Kassim N.E., Cotton W.D., Perley R.A., Wilman R., Best P., Pierre M., Birkinshaw M., Bremer M., Zanichelli A.)"
VizieR,J/ApJ/592/728/lbg,"Lyman break galaxies (tables 7 to 23 of paper) ( Steidel C.C., Adelberger K.L., Shapley A.E., Pettini M., Dickinson M., Giavalisco M.)"
VizieR,J/A+A/495/691/bzcat4,"Multi-frequency catalogue of blazars (Roma-BZCAT) Version 4.1.1 (2012-August) ( Massaro E., Giommi P., Leto C., Marchegiani P., Maselli A., Perri M., Piranomonte S., Sclavi S.)"
VizieR,J/A+A/495/53/catalog,"Emission-line measurements, spectral indices, and derived physical properties of galaxies observed in the VIMOS/VLT Deep Survey (VVDS) ( Lamareille F., Brinchmann J., Contini T., et al.)"
VizieR,J/A+A/611/A25/table1,"intermediate redshift Type II-P/L SNe ( Gall E.E.E., Kotak R., Leibundgut B., et al.)"
VizieR,J/AJ/133/186/table8,"*Objects in the 8um ( Lacy M., Petric A.O., Sajina A., Canalizo G., Storrie-Lombardi L.J., Armus L., Fadda D., Marleau F.R.)"
VizieR,J/AJ/133/186/table6,"The 50 Brightest Extragalactic 24um Sources in the XFLS with Four-Band IRAC Coverage ( Lacy M., Petric A.O., Sajina A., Canalizo G., Storrie-Lombardi L.J., Armus L., Fadda D., Marleau F.R.)"
VizieR,J/ApJS/257/61/sample,"Basic information (Table 1), X-ray count rates and NuSTAR band ratios (Table 4) and AGN signatures obtained by multiwavelength observations (Table B1) for the sample ( Yamada S., Ueda Y., Tanimoto A., Imanishi M., Toba Y., Ricci C., Privon G.C.)"
VizieR,J/AJ/135/2453/BLLac,"Observed (table5) and derived (table6) parameters of BL Lac candidates ( Plotkin R.M., Anderson S.F., Hall P.B., Margon B., Voges W., Schneider D.P., Stinson G., York D.G.)"
VizieR,J/ApJS/259/31/table1,"Candidate wide angle tail radio sources ( Sasmal T.K., Bera S., Pal S., Mondal S.)"
VizieR,J/ApJS/259/31/table2,"Candidate narrow angle tail radio sources ( Sasmal T.K., Bera S., Pal S., Mondal S.)"
