TAP_service,table_name,objects,description
VizieR,J/A+AS/130/323/table3,2578,"Catalogue ( Vettolani G., Zucca E., Merighi R., et al.)"
VizieR,J/A+A/559/A14/f22wide,2567,"Search in F22_WIDE field AND MagI between -100 and 100 AND Spectroscopic Redshift > 0 ( Le Fevre O., Cassata P., Cucciati O., et al.)"
VizieR,J/ApJ/858/77/table3,2481,"List of spectral identifications ( Hasinger G., Capak P., Salvato M., Barger A.J., Cowie L.L., Faisst A., Hemmati S., Kakazu Y., Kartaltepe J., Masters D., Mobasher B., Nayyeri H., Sanders D., Scoville N.Z., Suh H., Steinhardt C., Yang F.)"
VizieR,VII/99/catalog,2439,"Catalogue of radial velocities of galaxies ( Palumbo G.G.C., Tanzella-nitti G., Vettolani G.)"
VizieR,J/MNRAS/413/971/gamacore,2368,"Galaxy catalogue containing all SDSS galaxies within the GAMA regions, including GAMA-matched photometry and first year redshifts, GamaCoreDR1 ( Driver S.P., Hill D.T., Kelvin L.S., et al.)"
VizieR,III/47B/catalog,2277,Catalog Data ( Evans D.S.)
VizieR,J/ApJS/244/16/catalog,2254,"Hubble Legacy Fields (HLF) photometric catalog for the extended GOODS-South region; v2.0 release 60mas pixel scale mosaics ( Whitaker K.E., Ashas M., Illingworth G., Magee D., Leja J., Oesch P., van Dokkum P., Mowla L., Bouwens R., Franx M., Holden B., Labbe I., Rafelski M., Teplitz H., Gonzalez V.)"
VizieR,J/A+A/633/A154/cpz,2215,"CPz catalogue with object classifications ( Logan C.H.A., Fotopoulou S.)"
VizieR,J/MNRAS/457/110/catalog,2202,"Catalog ( Menzel M.-L., Merloni A., Georgakakis A., Salvato M., Aubourg E., Brandt W.N., Brusa M., Buchner J., Dwelly T., Nandra K., Paris I., Petitjean P., Schwope A.)"
VizieR,J/MNRAS/493/2745/dr14quv,2164,"GALEX UV data for SDSS DR14Q ( Vanden Berk D.E., Wesolowski S.C., Yeckley M.J., Marcinik J.M., Quashnock J.M., Machia L.M., Wu J.)"
VizieR,J/ApJ/877/81/table6,2159,"Redshift results ( Masters D.C., Stern D.K., Cohen J.G., Capak P.L., Stanford S.A., Hernitschek N., Galametz A., Davidzon I., Rhodes J.D., Sanders D., Mobasher B., Castander F., Pruett K., Fotopoulou S.)"
VizieR,J/ApJ/892/31/table6,2146,"Test results for 14828 sources ( Birky J., Hogg D.W., Mann A.W., Burgasser A.)"
VizieR,J/MNRAS/386/826/rv,2045,"Stellar radial velocities from the SMC 2dF survey ( Evans C.J., Howarth I.D.)"
VizieR,J/ApJ/850/66/table13,1957,"Catalog (final version, 21/08/2019) ( Ananna T.T., Salvato M., Lamassa S., et al.)"
VizieR,J/AJ/119/2598/table3,1940,"*Compiled data ( Sowards-Emmerd D., Smith J.A., McKay T.A., Sheldon E., Tucker D.L., Castander F.J.)"
VizieR,J/MNRAS/430/425/vlrslbg,1907,"Catalogue of LBGs ( Bielby R., Hill M.D., Shanks T., Crighton N.H.M., Infante L., Bornancini C.G., Francke H., Heraudeau P., Lambas D.G., Metcalfe N., Minniti D., Padilla N., Theuns T., Tummuangpak P., Weilbacher P.)"
VizieR,J/A+A/512/A12/catalogM,1888,"Combined table from original tables ( Balestra I., Mainieri V., Popesso P., Dickinson M., Nonino M., Rosati P., Teimoorinia H., Vanzella E., Cristiani S., Cesarsky C., Fosbury R.A.E., Kuntschner H., Rettura A.)"
VizieR,J/A+A/659/A183/tableb1,1781,"Catalog ( Kerutt J., Wisotzki L., Verhamme A., Schmidt K.B., Leclercq F., Herenz E.C., Urrutia T., Garel T., Hashimoto T., Maseda M., Matthee J., Kusakabe H., Schaye J., Richard J., Guiderdoni B., Mauerhofer V., Nanayakkara T., Vitte E.)"
VizieR,J/ApJ/756/74/table2,1623,"Sagittarius stellar velocity data ( Frinchaboy P.M., Majewski S.R., Munoz R.R., Law D.R., Lokas E.L., Kunkel W.E., Patterson R.J., Johnston K.V.)"
VizieR,J/MNRAS/398/109/iifsczv4,1609,"IIFSCz Catalogue (MRR+LW 18/04/09) ( Wang L., Rowan-Robinson M.)"
VizieR,IX/52/xxlaaoz,1523,"XXL_AAOmega_16 redshift table (Paper XXVII Chiappetti et al. 2018A&A...620A..12C) ( Chiappetti L., Pierre M., Adami C., et al.)"
VizieR,J/MNRAS/474/5363/table1,1509,"AKARI-SDSS-6dFGS-2MRS sample ( Kilerci Eser E., Goto T.)"
VizieR,J/ApJS/129/475/cnoc0223,1507,"CNOC2 Patch 0223+00 ( Yee H.K.C., Morris S.L., Lin H., Carlberg R.G., Hall P.B., Sawicki M., Patton D.R., Wirth G.D., Ellingson E., Shepherd C.W.)"
VizieR,J/MNRAS/464/1306/table10,1440,"Main LARGESS data table ( Ching J.H.Y., Sadler E.M., Croom S.M., Johnston H.M., Pracy M.B., Couch W.J., Hopkins A.M., Jurek R.J., Pimbblet K.A.)"
VizieR,VIII/77/table3,1410,"Properties of detected galaxies derived from spectra in digital archive ( Springob C.M., Haynes M.P., Giovanelli R., Kent B.R.)"
VizieR,J/ApJ/699/L43/catalog,1401,FIRST-NVSS-SDSS radio AGN sample catalog ( Smolcic V.)
VizieR,J/ApJ/691/1387/table2,1384,"Radial velocities and equivalent widths ( Rangwala N., Williams T.B., Stanek K.Z.)"
VizieR,J/A+A/654/A80/tableb1,1367,"Catalog of MUSE emission line sources studied in this work released with the paper ( Schmidt K.B., Kerutt J., Wisotzki L., et al.)"
VizieR,J/ApJS/258/29/table3,1335,"Non-AGN galaxies ( Chen Y.-P., Zaw I., Farrar G.R., Elgamal S.)"
VizieR,J/A+A/530/A31/table3,1277,"Parameters from the KISS pipeline for fields centered on 47 Tuc, M4, M12, M55, NGC 288, NGC 6752 ( Lane R.R., Kiss L.L., Lewis G.F., Ibata R.A., Siebert A., Bedding T.R., Szekely P., Szabo G.M.)"
VizieR,J/A+A/588/A14/table3,1247,"Catalog of 2mrs groups ( Tempel E., Kipper R., Tamm A., Gramann M., Einasto M., Sepp T., Tuvikene T.)"
HEASARC,morx,1202,Million Optical/Radio/X-Ray Associations Catalog
VizieR,J/MNRAS/372/425/catalog,1137,"The 2SLAQ redshift catalogue ( Cannon R., Drinkwater M., Edge A., et al.)"
VizieR,VII/223/2qz10k,1111,"List of object properties including position, identification and redshift ( Croom S.M., Smith R.J., Boyle B.J., Shanks T., Loaring N.S., Miller L., Lewis I.J.)"
VizieR,J/other/PASA/39.46/table2,1080,"Redshift, peculiar velocity and auxiliary information for 2285 SNe Ia and host galaxies ( Carr A., Davis T.M., Scolnic D., Said K., Brout D., Peterson E.R., Kessler R.)"
VizieR,V/153/dr4,1043,"LAMOST DR4 catalog (09/08/2018 version) ( Luo A.-L., Zhao Y.-H., Zhao G., et al.)"
VizieR,J/MNRAS/348/866/2dfngpgr,1043,"Group properties in the NGP ( Eke V.R., Baugh C.M., Cole S., et al.)"
VizieR,J/ApJ/720/368/table5,1041,"Relevant data for the sources in sample A ( Xue Y.Q., Brandt W.N., Luo B., Rafferty D.A., Alexander D.M., Bauer F.E., Lehmer B.D., Schneider D.P., Silverman J.D.)"
VizieR,II/333/master,1028,"SN candidates (Version April, 20 2018) ( Sako M., Bassett B., Becker A.C., et al.)"
HEASARC,arxa,1013,Atlas of Radio/X-Ray Associations (ARXA)
VizieR,J/MNRAS/437/2017/spectro2,976,"Spectroscopic catalogue of objects in the J1005, J1022 and J2218 fields ( Tejos N., Morris S.L., Finn C.W., Crighton N.H.M., Bechtold J., Jannuzi B.T., Schaye J., Theuns T., Altay G., Le Fevre O., Ryan-Weber E., Dave R.)"
VizieR,J/ApJS/121/287/cfa2s,972,"CfA survey radial velocities (tables 1 + 4) ( Huchra J.P., Vogeley M.S., Geller M.J.)"
VizieR,J/ApJ/684/1143/table1,964,"List of 10224 BHB candidates selected by color cut ( Xue X.X., Rix H.W., Zhao G., Re Fiorentin P., Naab T., Steinmetz M., van den Bosch F.C., Beers T.C., Lee Y.S., Bell E.F., Rockosi C., Yanny B., Newberg H., Wilhelm R., Kang X., Smith M.C., Schneider D.P.)"
VizieR,J/AJ/95/284/table1,957,"Redhsifts of galaxies in 14 fields ( Dressler A., Shectman S.A.)"
VizieR,J/AJ/153/114/table5,952,"Globular Cluster Radial Velocities (from Erratum, 2017, AJ, 154, 80) ( Forbes D.A., Alabi A., Brodie J.P., Romanowsky A.J., Strader J., Foster C., Usher C., Spitler L., Bellstedt S., Pastorello N., Villaume A., Wasserman A., Pota V.)"
VizieR,J/ApJ/888/78/catalog,939,"Data fields in the ACS-AGN catalog ( Stemo A., Comerford J.M., Barrows R.S., Stern D., Assef R.J., Griffith R.L.)"
VizieR,J/A+A/611/A53/table,921,"Catalog of VVDS data and new zReliability labels ( Jamal S., Le Brun V., Le Fevre O., Vibert D., Schmitt A., Surace C., Copin Y., Garilli B., Moresco M., Pozzetti L.)"
VizieR,J/A+A/559/A14/f02udeep,915,"Search in F02_UDEEP field AND MagI between -100 and 100 AND Spectroscopic Redshift > 0 ( Le Fevre O., Cassata P., Cucciati O., et al.)"
VizieR,J/MNRAS/450/3904/tablea1,913,"Catalog of C IV {lambda}{lambda}1548, 1551 Absorption Systems ( Chen Z.-F., Gu Q.-S., Chen Y.-M., Cao Y.)"
VizieR,J/ApJS/237/11/table6,910,"Galaxy redshift measurements ( Keeney B.A., Stocke J.T., Pratt C.T., Davis J.D., Syphers D., Danforth C.W., Shull J.M., Froning C.S., Green J.C., Penton S.V., Savage B.D.)"
VizieR,J/ApJS/167/1/table4,883,"Member Galaxies of Groups and Clusters for Samples Mr20, Mr19, and Mr18 ( Berlind A.A., Frieman J., Weinberg D.H., et al.)"
VizieR,J/A+A/569/A17/table2,876,"Positions, BV photometry, radial velocities and membership probabilities ( Cantat-Gaudin T., Vallenari A., Zaggia S., et al.)"
