TAP_service,table_name,description
VizieR,J/A+A/407/791/c7,"7um sources detected in the field of Abell 370 ( Metcalfe L., Kneib J.-P., McBreen B., Altieri B., Biviano A., Delaney M., Elbaz D., Kessler M.F., Leech K., Okumura K., Ott S., Perez-Martinez R., Sanchez-Fernandez C., Schulz B.)"
VizieR,J/A+A/408/905/table1,"Heliocentric redshifts of galaxies in VLG fields ( Cappi A., Benoist C., da Costa L.N., Maurogordato S.)"
VizieR,J/A+A/408/905/tableb,"VLG systems ( Cappi A., Benoist C., da Costa L.N., Maurogordato S.)"
VizieR,J/A+A/409/115/table1,"New 2cm VLA observations of the IRAS 1Jy ULIRG sample. ( Nagar N.M., Wilson A.S., Falcke H., Veilleux S., Maiolino R.)"
VizieR,J/A+A/409/439/table2,"Identified groups with a significance of at least 99% as obtained by at least one of the employed methods ( Olsen L.F., Hansen L., Jorgensen H.E., Benoist C., da Costa L., Scodeggio M.)"
VizieR,J/A+A/409/439/tablea,"Redshifts obtained in the 10 fields ( Olsen L.F., Hansen L., Jorgensen H.E., Benoist C., da Costa L., Scodeggio M.)"
VizieR,J/A+A/409/79/table1,"The HELLAS2XMM 1dF sample ( Fiore F., Brusa M., Cocchia F., Baldi A., Carangelo N., Ciliegi P., Comastri A., La Franca F., Maiolino R., Matt G., Molendi S., Mignoli M., Perola G.C., Severgnini P., Vignali C.)"
VizieR,J/A+A/412/657/table1,"Sample of cooling flow clusters of galaxies observed with the IRAM 30m telescope. ( Salome P., Combes F.)"
VizieR,J/A+A/414/487/table2,"List of the 185 galaxy candidates ( Veron-Cetty M.-P., Balayan S.K., Mickaelian A.M., Mujica R., Chavushyan V., Hakopian S.A., Engels D., Veron P., Zickgraf F.-J., Voges W., Xu D.-W.)"
VizieR,J/A+A/414/487/table3,"List of the 76 known AGN brighter than O(USNO)=16.5, located within 35"" of a ROSAT-FSC source ( Veron-Cetty M.-P., Balayan S.K., Mickaelian A.M., Mujica R., Chavushyan V., Hakopian S.A., Engels D., Veron P., Zickgraf F.-J., Voges W., Xu D.-W.)"
VizieR,J/A+A/414/487/table4,"List of 103 QSO candidates identified with a ROSAT-FSC source and located in zone IVa. ( Veron-Cetty M.-P., Balayan S.K., Mickaelian A.M., Mujica R., Chavushyan V., Hakopian S.A., Engels D., Veron P., Zickgraf F.-J., Voges W., Xu D.-W.)"
VizieR,J/A+A/415/549/table56,"Summary of observed and derived quantities  for steep and flat-spectrum sources ( Ricci R., Prandoni I., Gruppioni C., Sault R.J., De Zotti G.)"
VizieR,J/A+A/415/863/table1,"The Mount Stromlo Abell Cluster SNe ( Germany L.M., Reiss D.J., Schmidt B.P., Stubbs C.W., Suntzeff N.B.)"
VizieR,J/A+A/416/35/table3,AGN with radio detections ( Wadadekar Y.)
VizieR,J/A+A/416/35/table4,AGN not detected in the radio ( Wadadekar Y.)
VizieR,J/A+A/416/515/table5,"HI data for Markarian galaxies observed at the Nancay Radiotelescope ( Davoust E., Contini T.)"
VizieR,J/A+A/418/885/table1,"Data of FDF objects with spectroscopic redshift ( Noll S., Mehlert D., Appenzeller I., Bender R., Boehm A., Gabasch A., Heidt J., Hopp U., Jaeger K., Seitz S., Stahl O., Tapken C., Ziegler B.L.)"
VizieR,J/A+A/420/183/table3,"Kinematics ( Allende Prieto C., Barklem P.S., Lambert D.L., Cunha K.)"
VizieR,J/A+A/420/97/table1,"Photometric and kinematic data on 77 spirals in the FORS Deep Field ( Boehm A., Ziegler B.L., Saglia R.P., Bender R., Fricke K.J., Gabasch A., Heidt J., Mehlert D., Noll S., Seitz S.)"
VizieR,J/A+A/421/455/table2,"R-band magnitudes and redshifts for PS radio sources ( Kopylov A.I., Artyukh V.S., Kopylova F.G.)"
VizieR,J/A+A/421/59/tablea1,"J2000 coordinates, redshifts and H{alpha} and [OII]3727 equivalent widths of 79 galaxies in VMF73 and VMF74 ( Gerken B., Ziegler B.L., Balogh M.L., Gilbank D.G., Fritz A., Jaeger K.)"
VizieR,J/A+A/422/39/table4,"List of optically identified galaxies in the ISOPHOT Serendipity Survey ( Stickel M., Lemke D., Klaas U., Krause O., Egner S.)"
VizieR,J/A+A/422/907/tab2-4,"MOS targets in the field of MS 1008-12, Cl 0303+17 and Cl 0413-65 observed with Setup A and Setup B. ( Jaeger K., Ziegler B.L., Boehm A., Heidt J., Moellenhoff C., Hopp U., Mendez R.H., Wagner S.)"
VizieR,J/A+A/423/449/table1+,"Merged tables 1-3: X-ray properties, optical properties, and optical structural parameters ( Popesso P., Bohringer H., Brinkmann J., Voges W., York D.G.)"
VizieR,J/A+A/424/519/table1,Seyfert galaxy line widths ( Hawkins M.R.S.)
VizieR,J/A+A/424/79/table1,"Photometric parameters for 102 galaxies ( Mercurio A., Busarello G., Merluzzi P., La Barbera F., Girardi M., Haines C.)"
VizieR,J/A+A/425/367/reflex50,"REFLEX cluster catalogue for h=0.5 (H_0_=50km/s/Mpc) and Einstein-de Sitter-cosmology (table6b of paper) (H=50km/s/Mpc ( Boehringer H., Schuecker P., Guzzo L., Collins C.A., Voges W., Cruddace R.G., Ortiz-Gil A., Chincarini G., De Grandi S., Edge A.C., MacGillivray H.T., Neumann D.M., Schindler S., Shaver P.)"
VizieR,J/A+A/425/367/reflex70,"REFLEX cluster catalogue for h=0.7 (H_0_=70km/s/Mpc) and Lambda-cosmology (table6a of paper) (H=70km/s/Mpc ( Boehringer H., Schuecker P., Guzzo L., Collins C.A., Voges W., Cruddace R.G., Ortiz-Gil A., Chincarini G., De Grandi S., Edge A.C., MacGillivray H.T., Neumann D.M., Schindler S., Shaver P.)"
VizieR,J/A+A/426/463/table1,"The VLBA sample ( Orienti M., Dallacasa D., Fanti C., Fanti R., Tinti S., Stanghellini C.)"
VizieR,J/A+A/427/387/master,"The Master catalogue, with comprehensive listings of detections from 7 surveys. Also lists 2 radio lobes if applicable. ( Flesch E., Hardcastle M.J.)"
VizieR,J/A+A/428/1043/vcdfs,"VVDS-CDFS catalog V1.0 (Version of 26 March 2004) ( Le Fevre O., Vettolani G., Paltani S., et al.)"
VizieR,J/A+A/428/339/sources,"Sources detected in the Capodimonte Deep Field (tables A1-A3 of the paper) ( Alcala J.M., Pannella M., Puddu E., et al.)"
VizieR,J/A+A/429/101/table2,"Catalogue for all galaxies with measured redshift in the field of CL 0048-2942 ( Serote Roos M., Lobo C., Durret F., Iovino A., Marquez I.)"
VizieR,J/A+A/430/115/table1,"Sample of distant galaxies ( Hammer F., Flores H., Elbaz D., Zheng X.Z., Liang Y.C., Cesarsky C.)"
VizieR,J/A+A/430/19/tablea,"Radial velocities and spectral lines for 239 galaxies in A3921 ( Ferrari C., Benoist C., Maurogordato S., Cappi A., Slezak E.)"
VizieR,J/A+A/433/1163/table1,"The sample ( Donato D., Sambruna R.M., Gliozzi M.)"
VizieR,J/A+A/434/385/table1,"Complete sample of HBL BL Lacs in the Sedentary Survey: objects coordinates and main properties ( Giommi P., Piranomonte S., Perri M., Padovani P.)"
VizieR,J/A+A/434/385/table2,"List of candidate low luminosity HBLs ( Giommi P., Piranomonte S., Perri M., Padovani P.)"
VizieR,J/A+A/434/385/table3,"List of the 19 emission line AGNs in the HBL zone ( Giommi P., Piranomonte S., Perri M., Padovani P.)"
VizieR,J/A+A/434/801/catalog,"Catalogue of objects ( Zappacosta L., Maiolino R., Finoguenov A., Mannucci F., Gilli R., Ferrara A.)"
